text,intent
"This bot is useless, connect me to the manager of Emaar society!",escalation
your agent promised me token money by today but nothing happened!,escalation
my down payment for blue area phase was deducted but no confirmation received.,escalation
Send me the current prce list for 4 BHK penthouse Phase in Johar Town.,lead_capture
I want to know about the paymnt plan for 5 Marla Luxury Villa in Emaar.,faq
I want to cancel my booking for 10 Marla Plot File in Johar Town because of this bad service!,escalation
I've emailed three times about my 2 Kanal Sector in Blue Area and no response!,escalation
is the 4 bhk penthouse house in blue area near any main road?,faq
How many 2 Kanal Sector are left in Bahria Town Sector?,faq
I want to cancel my booking for Studio Plot File in Johar Town because of this bad service!,escalation
i want to cancel my booking for 2 bhk commercial shop in emaar because of this bad service!,escalation
How much is the Token Money for Bahria Town House,faq
How many 2 BHK Sector are left in Blue Area Sector?,faq
Can you share the broker number for Giga Mall Commercial Shop?,lead_capture
how much is the possession charges for gulberg plot file?,faq
what are the transfer fee for a 10 marla phase in gulberg?,faq
Can you share the broker number for Blue Area Phase,lead_capture
i want to lodge a formal complaint against the agent for johar town sector!,escalation
What is the current market rate for 10 Marla Plot in Clifton?,faq
Why is my Token Money delayed for Johar Town Commercial Shop?,escalation
I would like to book an appointment for a site visit in Clifton.,lead_capture
What is teh possession timeline for Studio Plot File in Blue Area?,faq
are there any 5 marla sector available in clifton?,faq
I am looking for a 4 BHK penthouse Plot in Bahria Town. Please contact me at client123@yahoo.com.,lead_capture
does teh 3 bhk commercial shop in dha have gym?,faq
What is the security situation in DHA Luxury Villa?,faq
What is the current market rate for 5 Marla Apartment in Johar Town?,faq
"I am reporting this to the society head, the Token Money process is a scam!",escalation
what is the transfer fee for blue area house?,faq
Why is my Down Paymnt delayed for Emaar House?,escalation
Tell me the difference between 3 BHK and 3 BHK in DHA.,faq
Why is the Transfer fee not reflecting in my portal for Clifton Commercial Shop?,escalation
can you share teh broker number for emaar apartment?,lead_capture
How many 4 BHK penthouse Luxury Villa are left in Bahria Town Luxury Villa,faq
Can I get a 2 Kanal Phase on an installment plan in Giga Mall?,faq
Can you arrange a meeting with the agent for Bahria Town Sector?,lead_capture
My Token Money for Emaar Phase was deducted but no confirmation received.,escalation
I want to cancel my booking for 4 BHK penthouse House in Emaar because of this bad service!,escalation
i will not pay the token money until a human explains the delay!,escalation
Send me the current price list for 5 Marla Phase in Gulberg.,lead_capture
Can you share the broker number for Emaar Luxury Villa?,lead_capture
Urgent complaint regarding the transfer fee for Gulberg House!,escalation
I want to lodge a formal complaint against the agent for Giga Mall Plot!,escalation
Can I book a physical site-tour for DHA Luxury Villa?,lead_capture
Is Gulberg Phase currently in possession?,faq
Why is the Down Payment not reflecting in my portal for Bahria Town Plot?,escalation
How many 4 BHK penthouse Commercial Shop are left in Emaar Commercial Shop?,faq
I want to visit Emaar this weekend to see 2 BHK Apartments.,lead_capture
Tell me the difference between Studio and Studio in DHA.,faq
I paid the Down Payment for Giga Mall House and it's still not updated!,escalation
my transfer fee for emaar phase was deducted but no confirmation received.,escalation
How many 3 BHK Plot File are left in Gulberg Plot File,faq
I paid teh Token Money for Johar Town Apartment and it's still not updated!,escalation
send me the current price list for studio commercial shop in clifton.,lead_capture
I am interested in buying a 10 Marla Plot in Johar Town.,lead_capture
Is the 2 BHK Sector in Clifton near any main road?,faq
"I'M VERY INTERESTED IN THE 1 KANAL SECTOR IN EMAAR, HOW DO I PROCEED?",lead_capture
what is the security situation in dha luxury villa?,faq
What is the total price of a 4 BHK penthouse Commercial Shop in Emaar?,faq
Can I get a 3 BHK Plot File on an installment plan in Emaar?,faq
Can you arrange a meeting with the agent for Emaar Apartment,lead_capture
"I'm very interested in the 5 Marla Phase in Emaar, how do I proceed?",lead_capture
what are the amenities provided in bahria town plot?,faq
"MY PAYMENT OF PKR PKR FOR DOWN PAYMENT IS STUCK, FIX IT NOW!",escalation
I want to lodge a formal complaint against the agent for Bahria Town House!,escalation
what is the total price of a 2 bhk sector in johar town?,faq
"I want to book a 4 BHK penthouse Phase in Giga Mall, call me at +92 321 9876543.",lead_capture
Are there any 1 Kanal Sector available in Clifton?,faq
Are there any 10 Marla Commercial Shop available in Clifton?,faq
I want to cancel my booking for 1 Kanal Phase in Emaar because of this bad service!,escalation
What is the transfer fee for Clifton Commercial Shop?,faq
I want a call back regarding 10 Marla Plot File in Clifton.,lead_capture
What is the total price of a 5 Marla Luxury Villa in Bahria Town?,faq
i want a call back regarding 2 bhk phase in gulberg.,lead_capture
ARE THERE ANY 1 KANAL PHASE AVAILABLE IN GIGA MALL?,faq
i want to lodge a formal complaint against the agent for clifton luxury villa!,escalation
Are there any 2 Kanal House availabl in Bahria Town?,faq
i want to invest in johar town sector. do you have any 5 marla options?,lead_capture
What are the Down Payment for a 2 BHK Luxury Villa in Blue Area?,faq
Is Blue Area Plot File currently in possession?,faq
Urgent: my Down Payment failed but money was deducted for DHA Plot!,escalation
Urgent: my Installment Plan failed but money was deducted for Gulberg Apartment!,escalation
Are there any hidden Installment Plan for DHA Commercial Shop?,faq
How many 5 Marla Plot are left in Blue Area Plot?,faq
can you arrange a meeting with the agent for bahria town phase?,lead_capture
I have a budget of Crores Crores for a 10 Marla Plot in Clifton.,lead_capture
is gulberg apartment currently in possession?,faq
Is teh Bahria Town Plot File society approved by LDA or DHA?,faq
send me the current price list for 2 bhk apartment in dha.,lead_capture
I will not pay the Transfer fee until a human explains the delay!,escalation
I want to invest in Clifton Plot. Do you have any 1 Kanal options?,lead_capture
Is there an available 3 BHK Plot in Blue Area for immediate sale,lead_capture
Interested in 2 BHK House in DHA. Please call back on +92 321 9876543.,lead_capture
Tell me the difference between 1 Kanal and 1 Kanal in Blue Area.,faq
urgent complaint regarding the transfer fee for gulberg house!,escalation
How much is the Token Money for Blue Area Commercial Shop?,faq
I want to lodge a formal complaint against the agent for Giga Mall Phase!,escalation
Is there an available 10 Marla Luxury Villa in Clifton for immediate sale?,lead_capture
I want to lodge a formal complaint against teh agent for Emaar Apartment!,escalation
I want to know about teh payment plan for 2 Kanal Luxury Villa in Gulberg.,faq
Please send me your WhatsApp number for Phase in Blue Area.,lead_capture
i want to cancel my booking for 1 kanal sector in bahria town because of this bad service!,escalation
Can I get a 3 BHK Plot File on an installment plan in Blue Area?,faq
"I am losing my patience, put me through to a supervisor right now!",escalation
My Installment Plan for DHA Plot was deducted but no confirmation received.,escalation
I've emailed three times about my 1 Kanal Sector in Blue Area and no response!,escalation
What are teh amenities provided in Clifton Apartment?,faq
i paid the down payment for bahria town phase and it's still not updated!,escalation
I've emailed three times about my 5 Marla Commercial Shop in Emaar and no response!,escalation
"I am looking for a luxury Apartment in Bahria Town, can you help?",lead_capture
I've emailed three times about my 10 Marla House in Emaar and no response!,escalation
I am interested in buying a 3 BHK Plot File in Bahria Town.,lead_capture
Tell me about the Token Money for Bahria Town Apartment.,faq
tell me the difference between 5 marla and 5 marla in emaar.,faq
CAN I BOOK A PHYSICAL SITE-TOUR FOR EMAAR LUXURY VILLA?,lead_capture
Is the 1 Kanal Plot File in Johar Town near any main road?,faq
interested in 4 bhk penthouse plot in dha. please call back on 0333 1122334.,lead_capture
"MY PAYMENT OF PKR PKR FOR INSTALLMENT PLAN IS STUCK, FIX IT NOW!",escalation
Get a human online right now token payment stuck for Emaar Apartment!,escalation
Does the Studio Sector in Clifton have gym?,faq
Why is the Down Payment not reflecting in my portal for Giga Mall Plot?,escalation
I am looking for a 2 BHK Commercial Shop in Blue Area. Please contact me at investor.pk@gmail.com.,lead_capture
Stop sending me automated messages and connect me to a real person!,escalation
"i am looking for a luxury commercial shop in giga mall, can you help?",lead_capture
What is the possession timeline for 5 Marla House in Emaar?,faq
Interested in 5 Marla Plot File in Johar Town. Please call back on 0333 1122334.,lead_capture
Please send me the full brochure and payment plan for DHA Sector on my email realestate.buyer@outlook.com.,lead_capture
What is the current market rate for 1 Kanal Phase in Clifton?,faq
Why is my Token Money delayed for Giga Mall Plot?,escalation
Does the 10 Marla Phase in Giga Mall have water,faq
i want to cancel my booking for 2 bhk commercial shop in gulberg because of this bad service!,escalation
Urgent complaint regarding the transfer fee for Johar Town Apartment!,escalation
I've emailed three times about my 3 BHK Plot in Gulberg and no response!,escalation
Can I book a physical site-tour for Giga Mall Plot File?,lead_capture
DOES THE 4 BHK PENTHOUSE COMMERCIAL SHOP IN JOHAR TOWN HAVE PARK?,faq
Is the 4 BHK penthouse Luxury Villa in Gulberg near any main road?,faq
Urgent: my Down Payment failed but money was deducted for Bahria Town Phase!,escalation
"I am looking for a luxury House in Bahria Town, can you help",lead_capture
are there any 1 kanal phase available in dha?,faq
"I want to book a 10 Marla Luxury Villa in Emaar, call me at 0312 7654321.",lead_capture
I am interested in buying a 5 Marla Sector in Blue Area.,lead_capture
Why is my Down Payment delayed for Emaar Plot,escalation
Why is the Transfer fee not reflecting in my portal for Giga Mall Apartment?,escalation
i want to know about the payment plan for 2 kanal plot file in johar town.,faq
INTERESTED IN 10 MARLA PHASE IN EMAAR. PLEASE CALL BACK ON 0312 7654321.,lead_capture
Get a human online right now token payment stuck for Giga Mall Phase!,escalation
Can you arrange a meeting with the agent for Giga Mall House,lead_capture
I am looking for a 4 BHK penthouse Sector in Gulberg. Please contact me at client123@yahoo.com.,lead_capture
Tell me about the Possession charges for Blue Area Plot File.,faq
I would like to book an appointment for a site visit in Bahria Town.,lead_capture
Urgent complaint regarding teh transfer fee for DHA Plot File!,escalation
What is the security situation in Blue Area Plot File?,faq
I want to cancel my booking for 3 BHK Luxury Villa in Johar Town because of this bad service!,escalation
Interested in 5 Marla Sector in Giga Mall. Please call back on 0312 7654321.,lead_capture
I want to cancel my booking for 2 Kanal Commercial Shop in Emaar because of this bad service!,escalation
I HAVE A BUDGET OF CRORES CRORES FOR A 2 KANAL LUXURY VILLA IN EMAAR.,lead_capture
why is the installment plan not reflecting in my portal for johar town commercial shop?,escalation
What is the total price of a 2 BHK Phase in Bahria Town?,faq
I'm ready to pay teh Registry for a 4 BHK penthouse Plot File in Bahria Town.,lead_capture
I've emailed three times about my 3 BHK Plot File in Blue Area and no response!,escalation
I paid the Transfer fee for Johar Town Apartment and it's still not updated!,escalation
Is there an availabl 5 Marla Luxury Villa in Giga Mall for immediate sale?,lead_capture
I want to know about the payment plan for 2 BHK House in DHA.,faq
I am interested in buying a 10 Marla Plot File in Blue Area.,lead_capture
I want to visit DHA this weekend to see 2 BHK Plots.,lead_capture
i want to invest in emaar plot. do you have any 4 bhk penthouse options?,lead_capture
My Token Money for DHA Sector was deducted but no confirmation received.,escalation
what is teh security situation in emaar commercial shop?,faq
get a human online right now token payment stuck for giga mall house!,escalation
"This bot is useless, connect me to the manager of DHA society!",escalation
Is Giga Mall Apartment currently in possession?,faq
What is the security situation in Gulberg Commercial Shop,faq
How many 2 BHK Plot are left in Johar Town Plot?,faq
"This bot is useless, connect me to teh manager of Bahria Town society!",escalation
I paid the Down Payment for Bahria Town Plot File and it's still not updated!,escalation
"I want to book a 2 BHK Plot in Blue Area, call me at +92 300 1234567.",lead_capture
"i'm very interested in the 4 bhk penthouse luxury villa in dha, how do i proceed?",lead_capture
Can you share the broker number for Giga Mall Phase?,lead_capture
Please send me the full brochure and payment plan for Blue Area House on my email client123@yahoo.com.,lead_capture
Can you give me the dimensions of a Studio Commercial Shop in Blue Area?,faq
Is the Bahria Town Luxury Villa society approved by LDA or DHA,faq
Get a human online right now token payment stuck for Blue Area House!,escalation
Tell me about the Possession charges for Blue Area Luxury Villa.,faq
what is the security situation in bahria town apartment,faq
Urgent complaint regarding the transfer fee for Emaar House!,escalation
get a human online right now token payment stuck for blue area phase!,escalation
I'm ready to pay the Down Payment for a 5 Marla Plot in DHA.,lead_capture
I'm ready to pay the Token Money for a 2 Kanal Plot in Blue Area.,lead_capture
Can I book a physical site-tour for Johar Town Sector?,lead_capture
Are there any hidden Transfer fee for Clifton Sector?,faq
I am interested in buying a 5 Marla Commercial Shop in Blue Area.,lead_capture
What is the possession timeline for 2 BHK House in Emaar?,faq
is emaar sector currently in possession?,faq
"I want to book a 3 BHK House in Clifton, call me at +92 321 9876543.",lead_capture
i've emailed three times about my 3 bhk luxury villa in emaar and no response!,escalation
Urgent: my Possession charges failed but money was deducted for Clifton Phase!,escalation
I've emailed three times about my 3 BHK Sector in Clifton and no response!,escalation
I would like to book an appointment for a site visit in Johar Town.,lead_capture
"I am looking for a luxury Luxury Villa in Bahria Town, can you help?",lead_capture
What is the transfer fee for Giga Mall Plot?,faq
Why is the Down Payment not reflecting in my portal for Johar Town Phase?,escalation
Your agent promised me Transfer fee by today but nothing happened!,escalation
I've emailed three times about my 2 Kanal Luxury Villa in Clifton and no response!,escalation
I've emailed three times about my Studio Apartment in Clifton and no response!,escalation
"i am looking for a luxury phase in bahria town, can you help?",lead_capture
What are the Installment Plan for a 4 BHK penthouse Commercial Shop in Clifton?,faq
I want to know about the payment plan for 10 Marla Plot in DHA.,faq
Is there an available 4 BHK penthouse House in Giga Mall for immediate sale?,lead_capture
Can you arrange a meeting with the agent for Emaar Phase?,lead_capture
My Down Payment for Giga Mall House was deducted but no confirmation received.,escalation
"I want to book a 5 Marla Phase in Blue Area, call me at +92 321 9876543.",lead_capture
tell me about the possession charges for clifton phase.,faq
Get a human online right now token payment stuck for Giga Mall Plot File!,escalation
what is the possession timeline for 5 marla plot in emaar?,faq
Is the Johar Town Luxury Villa society approved by LDA or DHA?,faq
i paid the possession charges for emaar commercial shop and it's still not updated!,escalation
Is teh Gulberg Plot society approved by LDA or DHA?,faq
What is the transfer fee for Johar Town Luxury Villa?,faq
Tell me about the Down Payment for Clifton Plot.,faq
what is the transfer fee for gulberg plot file?,faq
Does the 3 BHK House in Johar Town have underground parking,faq
my transfer fee for gulberg plot file was deducted but no confirmation received.,escalation
I am looking for a 10 Marla Commercial Shop in Clifton. Please contact me at client123@yahoo.com.,lead_capture
Can you give me the dimensions of a 2 Kanal Commercial Shop in Clifton?,faq
I would like to book an appointment for a site visit in Emaar.,lead_capture
Can you give me the dimensions of a 1 Kanal House in Blue Area?,faq
Does teh 5 Marla Phase in Blue Area have security?,faq
I have a budget of Crores Crores for a 10 Marla Luxury Villa in Gulberg.,lead_capture
why is the transfer fee not reflecting in my portal for dha house?,escalation
Are there any hidden Transfer fee for Giga Mall Commercial Shop?,faq
I want to visit Giga Mall this weekend to see 2 BHK Plots.,lead_capture
can you give me the dimensions of a 2 kanal luxury villa in blue area,faq
I want to cancel my booking for 5 Marla Sector in DHA because of this bad service!,escalation
Are there any 4 BHK penthouse Commercial Shop available in Bahria Town?,faq
DOES THE 3 BHK PLOT FILE IN JOHAR TOWN HAVE SECURITY?,faq
I've emailed three times about my 5 Marla House in DHA and no response!,escalation
My Registry for Bahria Town Plot File was deducted but no confirmation received.,escalation
Can I get a 2 BHK Apartment on an installment plan in Clifton?,faq
I've emailed three times about my 10 Marla Luxury Villa in Blue Area and no response!,escalation
What is the total prce of a 10 Marla Plot File in Gulberg?,faq
"I want to book a 1 Kanal Plot in Gulberg, call me at +92 300 1234567.",lead_capture
i have a budget of crores crores for a 3 bhk plot in clifton.,lead_capture
What is the security situation in DHA Commercial Shop?,faq
Is the 2 Kanal Apartment in Giga Mall near any main road,faq
What is teh security situation in Clifton Sector?,faq
"I am reporting this to teh society head, teh Installment Plan process is a scam!",escalation
What is the security situation in Giga Mall Apartment,faq
i am looking for a studio apartment in bahria town. please contact me at realestate.buyer@outlook.com.,lead_capture
What is the security situation in Blue Area House?,faq
urgent: my transfer fee failed but money was deducted for johar town apartment!,escalation
I'm ready to pay the Down Payment for a 3 BHK Sector in Clifton.,lead_capture
Urgent: my Installment Plan failed but money was deducted for Gulberg Sector!,escalation
Are there any 4 BHK penthouse House available in Johar Town?,faq
URGENT COMPLAINT REGARDING THE TRANSFER FEE FOR BAHRIA TOWN APARTMENT!,escalation
Does teh 5 Marla Plot in DHA have underground parking?,faq
"I want to book a 10 Marla House in Johar Town, call me at 0312 7654321.",lead_capture
What is the possession timeline for 1 Kanal Sector in Giga Mall?,faq
What is the current market rate for 2 Kanal Sector in DHA?,faq
"I am looking for a luxury Luxury Villa in Giga Mall, can you help",lead_capture
can i book a physical site-tour for giga mall commercial shop?,lead_capture
Can you give me the dimensions of a 5 Marla House in Emaar,faq
What is the total price of a 2 BHK House in Gulberg?,faq
PLEASE SEND ME THE FULL BROCHURE AND PAYMNT PLAN FOR BLUE AREA COMMERCIAL SHOP ON MY EMAIL CLIENT123@YAHOO.COM.,lead_capture
"i'm very interested in the 2 bhk apartment in johar town, how do i proceed?",lead_capture
What is the current market rate for 10 Marla Plot File in Gulberg?,faq
what is the security situation in clifton plot?,faq
I am looking for a 2 BHK Plot in Johar Town. Please contact me at client123@yahoo.com.,lead_capture
Why is my Installment Plan delayed for Giga Mall Apartment?,escalation
Interested in 4 BHK penthouse Apartment in Johar Town. Please call back on 0345 5566778.,lead_capture
Why is the Token Money not reflecting in my portal for DHA Apartment?,escalation
can you give me the dimensions of a 2 bhk house in bahria town?,faq
stop sending me automated messages and connect me to a real person!,escalation
What is the transfer fee for DHA Phase?,faq
"This bot is useless, connect me to teh manager of Gulberg society!",escalation
what is the security situation in clifton commercial shop?,faq
I have a budget of Lakhs Lakhs for a Studio Luxury Villa in DHA.,lead_capture
Please WhatsApp me the details of 5 Marla Phase in DHA at 0345 5566778.,lead_capture
Is there an available 1 Kanal Phase in Gulberg for immediate sale?,lead_capture
What are the Token Money for a 5 Marla Phase in Emaar?,faq
Can you arrange a meeting with the agent for Emaar Plot,lead_capture
Why is my Token Money delayed for Blue Area Sector,escalation
Urgent: my Possession charges failed but money was deducted for DHA Phase!,escalation
"MY PAYMNT OF CRORES CRORES FOR INSTALLMENT PLAN IS STUCK, FIX IT NOW!",escalation
Urgent complaint regarding the transfer fee for DHA Sector!,escalation
"I am looking for a luxury Plot File in Gulberg, can you help?",lead_capture
What are teh amenities provided in Johar Town Plot File?,faq
send me teh current price list for 1 kanal sector in johar town.,lead_capture
Urgent: my Token Money failed but money was deducted for DHA Phase!,escalation
Tell me teh difference between 2 Kanal and 2 Kanal in Johar Town.,faq
Send me the current price list for 10 Marla Sector in Clifton.,lead_capture
"I am looking for a luxury Phase in DHA, can you help?",lead_capture
"I am looking for a luxury House in Blue Area, can you help?",lead_capture
Please send me teh full brochure and paymnt plan for DHA Commercial Shop on my email investor.pk@gmail.com.,lead_capture
What is the security situation in DHA Plot?,faq
Is the 10 Marla Apartment in Clifton near any main road?,faq
What is the total price of a 10 Marla Plot File in Bahria Town?,faq
I am interested in buying a 4 BHK penthouse Luxury Villa in Emaar.,lead_capture
Please WhatsApp me the details of 1 Kanal House in Clifton at +92 300 1234567.,lead_capture
Send me the current price list for 2 Kanal Phase in Bahria Town.,lead_capture
Why is my Token Money delayed for Johar Town Luxury Villa?,escalation
Send me the current price list for Studio Luxury Villa in Bahria Town.,lead_capture
"This bot is useless, connect me to teh manager of Johar Town society!",escalation
I want to cancel my booking for 4 BHK penthouse Apartment in Johar Town because of this bad service!,escalation
What is the current market rate for 3 BHK Luxury Villa in Gulberg?,faq
PLEASE SEND ME THE FULL BROCHURE AND PAYMENT PLAN FOR CLIFTON LUXURY VILLA ON MY EMAIL REALESTATE.BUYER@OUTLOOK.COM.,lead_capture
I paid the Registry for Clifton Commercial Shop and it's still not updated!,escalation
What is teh security situation in Giga Mall Luxury Villa?,faq
I want to cancel my booking for 1 Kanal Luxury Villa in Bahria Town because of this bad service!,escalation
Can you arrange a meeting with the agent for Emaar Plot?,lead_capture
"I'm very interested in the 1 Kanal Commercial Shop in Emaar, how do I proceed",lead_capture
what is the possession timeline for studio phase in bahria town?,faq
Please send me the full brochure and payment plan for Johar Town Plot File on my email client123@yahoo.com.,lead_capture
Are there any hidden Possession charges for Gulberg Commercial Shop?,faq
I want to visit DHA this weekend to see 10 Marla Phases.,lead_capture
"I want to book a 2 BHK Plot in Johar Town, call me at 0333 1122334.",lead_capture
Why is my Registry delayed for DHA Luxury Villa?,escalation
"I'm very interested in the 10 Marla Phase in Giga Mall, how do I proceed?",lead_capture
What are the amenities provided in DHA Sector,faq
Why is my Installment Plan delayed for Johar Town Plot File?,escalation
Are there any 3 BHK Luxury Villa available in DHA?,faq
i have a budget of lakhs lakhs for a studio commercial shop in blue area.,lead_capture
Tell me about the Possession charges for Emaar Apartment.,faq
What is the transfer fee for Gulberg Luxury Villa?,faq
I want to know about the payment plan for 2 Kanal Commercial Shop in Johar Town.,faq
Does the Studio House in Bahria Town have security?,faq
i would like to book an appointment for a site visit in bahria town.,lead_capture
I want to lodge a formal complaint against the agent for Emaar Plot File!,escalation
urgent: my down payment failed but money was deducted for gulberg apartment!,escalation
What is teh security situation in Giga Mall Commercial Shop,faq
Urgent: my Registry failed but money was deducted for Bahria Town Luxury Villa!,escalation
What are the Transfer fee for a 5 Marla House in Blue Area?,faq
urgent: my installment plan failed but money was deducted for clifton plot!,escalation
"This bot is useless, connect me to the manager of Blue Area society!",escalation
is teh dha phase society approved by lda or dha?,faq
my installment plan for clifton house was deducted but no confirmation received.,escalation
How many 4 BHK penthouse Plot File are left in Giga Mall Plot File?,faq
I'm ready to pay the Down Paymnt for a 2 BHK Apartment in Giga Mall.,lead_capture
"My payment of Lakhs Lakhs for Transfer fee is stuck, fix it now!",escalation
URGENT COMPLAINT REGARDING TEH TRANSFER FEE FOR BAHRIA TOWN LUXURY VILLA!,escalation
What is the total price of a 2 BHK Sector in Giga Mall?,faq
Tell me about the Down Payment for Johar Town Sector.,faq
I want to invest in Giga Mall Commercial Shop. Do you have any Studio options?,lead_capture
I've emailed three times about my 5 Marla Phase in DHA and no response!,escalation
Send me the current price list for 5 Marla Plot in Johar Town.,lead_capture
What are the amenities provided in Emaar House?,faq
"my paymnt of crores crores for registry is stuck, fix it now!",escalation
"i want to book a 4 bhk penthouse house in bahria town, call me at +92 300 1234567.",lead_capture
I WILL NOT PAY THE INSTALLMENT PLAN UNTIL A HUMAN EXPLAINS THE DELAY!,escalation
I've emailed three times about my 4 BHK penthouse Phase in Johar Town and no response!,escalation
Are there any hidden Token Money for Giga Mall Plot?,faq
What is the possession timeline for 2 Kanal House in Johar Town?,faq
"My payment of PKR PKR for Down Payment is stuck, fix it now!",escalation
Please send me your WhatsApp number for House in Gulberg.,lead_capture
Does the 3 BHK Plot in Johar Town have electricity?,faq
how much is the possession charges for gulberg plot?,faq
i want to visit emaar this weekend to see studio sectors.,lead_capture
I've emailed three times about my 3 BHK Plot File in DHA and no response!,escalation
I want a call back regarding 10 Marla Sector in Gulberg.,lead_capture
Is Giga Mall Sector currently in possession?,faq
I want to know about the payment plan for 3 BHK Commercial Shop in DHA.,faq
I want to cancel my booking for 3 BHK Sector in Blue Area because of this bad service!,escalation
"I'm very interested in the 4 BHK penthouse Plot in Bahria Town, how do I proceed",lead_capture
why is the transfer fee not reflecting in my portal for johar town luxury villa?,escalation
Can I book a physical site-tour for Bahria Town Plot File,lead_capture
What are the amenities provided in Clifton Phase?,faq
I'm ready to pay the Down Payment for a 1 Kanal Phase in Clifton.,lead_capture
"My payment of Crores Crores for Installment Plan is stuck, fix it now!",escalation
urgent complaint regarding the transfer fee for bahria town luxury villa!,escalation
My Possession charges for DHA Sector was deducted but no confirmation received.,escalation
does teh 3 bhk apartment in gulberg have underground parking?,faq
i want to invest in johar town phase. do you have any 1 kanal options?,lead_capture
What is the current market rate for Studio Sector in Giga Mall?,faq
Interested in 5 Marla Plot File in Giga Mall. Please call back on +92 321 9876543.,lead_capture
"I am reporting this to teh society head, the Installment Plan process is a scam!",escalation
My Installment Plan for DHA Commercial Shop was deducted but no confirmation received.,escalation
i want a call back regarding 5 marla commercial shop in gulberg.,lead_capture
I've emailed three times about my 4 BHK penthouse Plot File in Emaar and no response!,escalation
what is the security situation in giga mall apartment?,faq
Can I book a physical site-tour for DHA Plot File?,lead_capture
Urgent: my Transfer fee failed but money was deducted for Giga Mall Phase!,escalation
I'm ready to pay the Down Payment for a Studio House in Giga Mall.,lead_capture
My Token Money for Bahria Town Plot File was deducted but no confirmation received.,escalation
What is the security situation in Emaar Luxury Villa?,faq
How many 2 Kanal Sector are left in Clifton Sector?,faq
urgent: my possession charges failed but money was deducted for emaar luxury villa!,escalation
Can I get a 2 Kanal Commercial Shop on an installment plan in Johar Town?,faq
Get a human online right now token payment stuck for Giga Mall Plot!,escalation
I paid the Transfer fee for Johar Town Phase and it's still not updated!,escalation
My Down Payment for Bahria Town Plot File was deducted but no confirmation received.,escalation
